"W","SE","age","group"
0.0131947958101213,0.000716096081688337,"PreLUCA","NQ.bac"
0.0100132091292936,0.000676531634023925,"LUCA","NQ.bac"
0.0140042187744031,0.000781338187099945,"PreLBCA","NQ.bac"
0.00841320369320067,0.00207971697147407,"PreLACA","NQ.bac"
0.0163570770544489,0.000571120734658024,"LBCA","NQ.bac"
0.00844372488455237,0.000952793909415891,"LACA","NQ.bac"
0.0162270036005023,0.000388030333313789,"Modern Bacteria","NQ.bac"
0.0096525484602959,0.000837819533183396,"Modern Archaea","NQ.bac"
0.0143972277825622,0.000801464323714011,"PreLUCA","NQ.arch"
0.0107713760415514,0.000723740701606456,"LUCA","NQ.arch"
0.0153716551928774,0.000834479968096887,"PreLBCA","NQ.arch"
0.00861798240742867,0.00211186077813998,"PreLACA","NQ.arch"
0.0177252268382389,0.000618893085738886,"LBCA","NQ.arch"
0.00910676341064464,0.00100700865270173,"LACA","NQ.arch"
0.0171370833933457,0.000409020631209578,"Modern Bacteria","NQ.arch"
0.00914681260893374,0.000801445475032643,"Modern Archaea","NQ.arch"
