"","PFAM_IDs","Conserved_W"
"1","Domain1","0"
"2","Domain2","0"
"3","PF00004","0"
"4","PF00005","0"
"5","PF00006","0"
"6","PF00009","0"
"7","PF00011","0"
"8","PF00012","0"
"9","PF00013","0"
"10","PF00015","0"
"11","PF00016","0"
"12","PF00023","0"
"13","PF00024","0"
"14","PF00025","0"
"15","PF00027","0"
"16","PF00028","0"
"17","PF00030","0"
"18","PF00032","0"
"19","PF00033","0"
"20","PF00034","0"
"21","PF00035","0"
"22","PF00036","0"
"23","PF00037","0"
"24","PF00041","0"
"25","PF00042","0"
"26","PF00043","0"
"27","PF00044","0"
"28","PF00045","0"
"29","PF00050","0"
"30","PF00056","0"
"31","PF00059","0"
"32","PF00060","0"
"33","PF00067","0"
"34","PF00069","0"
"35","PF00070","0"
"36","PF00071","0"
"37","PF00072","0"
"38","PF00075","0"
"39","PF00076","0"
"40","PF00078","0"
"41","PF00079","0"
"42","PF00080","0"
"43","PF00081","0"
"44","PF00082","0"
"45","PF00083","0"
"46","PF00085","0"
"47","PF00089","0"
"48","PF00091","0"
"49","PF00092","0"
"50","PF00096","0"
"51","PF00101","1"
"52","PF00102","0"
"53","PF00106","0"
"54","PF00107","0"
"55","PF00108","0"
"56","PF00109","0"
"57","PF00111","0"
"58","PF00112","0"
"59","PF00113","0"
"60","PF00114","0"
"61","PF00115","0"
"62","PF00116","0"
"63","PF00117","0"
"64","PF00118","0"
"65","PF00119","0"
"66","PF00120","0"
"67","PF00121","0"
"68","PF00122","0"
"69","PF00124","0"
"70","PF00126","0"
"71","PF00127","0"
"72","PF00128","0"
"73","PF00132","0"
"74","PF00133","0"
"75","PF00135","0"
"76","PF00136","0"
"77","PF00137","0"
"78","PF00140","0"
"79","PF00141","0"
"80","PF00142","0"
"81","PF00144","0"
"82","PF00145","0"
"83","PF00146","0"
"84","PF00148","0"
"85","PF00149","0"
"86","PF00150","0"
"87","PF00152","0"
"88","PF00154","0"
"89","PF00155","0"
"90","PF00156","0"
"91","PF00158","0"
"92","PF00160","0"
"93","PF00162","0"
"94","PF00163","0"
"95","PF00164","0"
"96","PF00165","0"
"97","PF00166","0"
"98","PF00171","0"
"99","PF00173","0"
"100","PF00174","0"
"101","PF00175","0"
"102","PF00176","0"
"103","PF00177","0"
"104","PF00180","0"
"105","PF00181","0"
"106","PF00182","0"
"107","PF00183","0"
"108","PF00185","0"
"109","PF00186","0"
"110","PF00188","0"
"111","PF00189","0"
"112","PF00190","0"
"113","PF00194","0"
"114","PF00195","0"
"115","PF00196","0"
"116","PF00198","0"
"117","PF00199","0"
"118","PF00201","0"
"119","PF00202","0"
"120","PF00203","0"
"121","PF00204","0"
"122","PF00205","0"
"123","PF00206","0"
"124","PF00207","0"
"125","PF00208","0"
"126","PF00209","0"
"127","PF00210","0"
"128","PF00211","0"
"129","PF00213","0"
"130","PF00215","0"
"131","PF00216","0"
"132","PF00217","0"
"133","PF00218","0"
"134","PF00221","0"
"135","PF00223","0"
"136","PF00224","0"
"137","PF00226","0"
"138","PF00227","0"
"139","PF00230","0"
"140","PF00231","0"
"141","PF00232","0"
"142","PF00237","0"
"143","PF00238","0"
"144","PF00239","0"
"145","PF00245","0"
"146","PF00246","0"
"147","PF00248","0"
"148","PF00251","0"
"149","PF00252","0"
"150","PF00253","0"
"151","PF00254","0"
"152","PF00255","0"
"153","PF00258","0"
"154","PF00263","0"
"155","PF00264","0"
